id,sku,prodcut_name,short_description,price,list_price,is_authentic,is_freeship_xtra,is_hero,discount,discount_rate,rating_average,review_count,favourite_count,inventory_status,sold_count,category_id,category_name,brand_id,brand_name,battery_capacity,brand_country,cpu_speed,sim_slot,product_weight,ram,rom,has_5g,number_options,warranty_time,warranty_type,warranty_place,return_policy
276062770,5271042371517,Điện Thoại Xiaomi Redmi 14C 4GB/128GB - Hàng Chính Hãng,"Điện Thoại Xiaomi Redmi 14C 4GB/128GB - Hàng Chính HãngBộ sản phẩm bao gồm: Pin, sạc, cáp USB kiểu C,ốp lưng, hướng dẫn, cây tháo sim.Màn hình lớn, hiển thị sống động- Redmi 14C được trang bị màn ...",2919000,3290000,True,False,False,371000,11,0.0,0,0,available,1.0,1795,Điện thoại Smartphone,25422,Xiaomi,NULL,NULL,NULL,NULL,NULL,4GB,NULL,Không,2.0,18 Tháng,Điện tử,Bảo hành chính hãng,Đổi trả miễn phí trong 30 ngày
273186334,1786317839145,Điện thoại Samsung Galaxy A05s 4GB/128GB- Hàng Chính hãng," là nhà sản xuất nổi tiếng với những chiếc  chất lượng trong mọi phân khúc từ tầm trung cho đến cao cấp. Mới đây, thương hiệu đã giới thiệu mẫu điện thoại Samsung Galaxy A05S. Thiết bị này có cấu hình...",3625000,3625000,True,True,False,0,0,0.0,0,0,available,,1795,Điện thoại Smartphone,18802,Samsung,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Không,2.0,1 Năm,Điện tử,Bảo hành chính hãng,Đổi trả miễn phí trong 30 ngày
203853390,8419196146767,Điện Thoại Oppo A17k (3GB/64GB) - Hàng Chính Hãng, ...,3276000,3276000,True,True,False,0,0,0.0,0,0,available,,1795,Điện thoại Smartphone,25643,OPPO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Không,2.0,1 Năm,Điện tử,Bảo hành chính hãng,Đổi trả miễn phí trong 30 ngày
276323416,9126828633544,Điện thoại Xiaomi 14T Pro 5G (12GB/512GB) - Hàng chính hãng,"Màn hình: AMOLED 6.67 inch, 1.5K, tần số quét 144Hz, độ sáng tối đa 4000nitsHệ điều hành: Xiaomi HyperOSBộ xử lý: MediaTek Dimensity 9300+Tính năng: Cảm biến vân tay dưới màn hình, Kháng nước, khá...",17990000,17990000,True,True,False,0,0,0.0,0,0,available,,1795,Điện thoại Smartphone,25422,Xiaomi,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Không,1.0,NULL,NULL,NULL,Đổi trả miễn phí trong 30 ngày
275773905,6065977315659,Điện thoại HONOR X5 Plus - Hàng Chính Hãng,"       Thông tin sản phẩmVề tổng quan, cái mà bạn nhận ra ngay từ lần đầu chạm mặt là thiết kế vuông vức. Đường viền mỏng, nhẹ nhàng bao quanh thiết bị, góc cạnh được bo tròn mềm mại, tạo nên sự c...",2390000,2490000,True,False,False,100000,4,0.0,0,0,available,,2,Root,161535,Honor,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Không,2.0,NULL,NULL,NULL,Đổi trả miễn phí trong 30 ngày
276307101,7596306943683,Điện thoại Xiaomi Poco M6 - Hàng chính hãng,"Màn hình: IPS LCD 6.79"", FHD+, 90Hz, 550nitsHệ điều hành: Xigomi HyperOSCamera sau: Chính 108 MP + Macro 2 MPCamera trước: 13 MPChipset: MediaTek Helio G91-UltraRAM: 6 GBBộ nhớ trong: 128 ...",3879000,4290000,True,True,False,411000,10,0.0,0,0,available,,1789,Điện Thoại - Máy Tính Bảng,25422,Xiaomi,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Không,4.0,18 Tháng,Điện tử,Bảo hành chính hãng,Đổi trả miễn phí trong 30 ngày
274393574,1012153941030,Điện thoại Xiaomi Poco C65 - Hàng chính hãng,"Màn hình: IPS LCD 6.74"", Full HD+(1600 x 720 pixels)Hệ điều hành: Android 13Camera sau: 50 MP + 2 MPCamera trước: 8 MPChipset: MediaTek Helio G85RAM: 6/8 GBBộ nhớ trong: 128 GBCổng kết nối/sạc...",2759000,3090000,True,True,False,331000,11,0.0,0,0,available,1.0,1789,Điện Thoại - Máy Tính Bảng,25422,Xiaomi,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Không,2.0,12 Tháng,Điện tử,Bảo hành chính hãng,Đổi trả miễn phí trong 30 ngày
249890023,8316927075310,Điện Thoại Xiaomi Redmi Note 12 Pro 5G 8GB/256GB - Hàng Chính Hãng,"Điện Thoại Xiaomi Redmi Note 12 Pro 5G 8GB/256GB - Hàng Chính HãngBộ sản phẩm bao gồm: Bộ sạc, cáp USB Type-C, dụng cụ tháo sim, ốp bảo vệ, hướng dẫn sử dụng nhanh. Màn hình rực nét, vuốt chạm mượt...",9000000,9000000,True,True,False,0,0,0.0,0,0,available,,1795,Điện thoại Smartphone,25422,Xiaomi,NULL,NULL,NULL,2 SIM,187 g,NULL,NULL,Không,1.0,1 Năm,Điện tử,Bảo hành chính hãng,Đổi trả miễn phí trong 30 ngày
273366296,3730815651709,"ulefone Armor 24 (TIÊU CHUẨN MIL-STD-810H ,IP69K, chống nước ,chống sốc,pin 22000mah , màn hình6,78 inch, NFC, Ram24GB(12Gb+12Gb),rom 256GB)-hàng chính hãng ","Kích thước màn hình 6,78 inchĐộ phân giải màn hình 1080 x 2460 FHD+,PPI 396CPU MediaTek Helio G96,Tần số chính 2.05GHzPin Li-polymer 22000mAh,sạc nhanh 66W, 11V/6ALoại C, USB 2.0 , Giắc cắm tai ng...",7990000,7990000,True,False,False,0,0,0.0,0,0,available,1.0,1789,Điện Thoại - Máy Tính Bảng,169013,Ulefone,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Không,,12 Tháng,Phiếu bảo hành,Bảo hành bởi nhà bán hàng thông qua Tiki,Đổi trả miễn phí trong 30 ngày
170165701,1155942000611,Điện thoại bàn Ktel 645 hàng chính hãng,"• Màn hình lớn gấp đôi-số to, rõ hiện lịch, đồng hồ, số gọi tới, gọi đi (không pin).• Bộ nhớ 30 cuộc gọi tới, 10 cuộc gọi đi (mã vùng, số điện thoại, thời gian).• Xóa, gọi lại số gọi đi, gọi tới. Nhấn...",430000,430000,True,False,False,0,0,5.0,11,0,available,60.0,8061,Điện thoại bàn,5178283,KTEL,NULL,Trung Quốc,NULL,NULL,0.8,NULL,NULL,Không,3.0,12 Tháng,Điện tử,Bảo hành chính hãng,Đổi trả miễn phí trong 30 ngày
